id,name,brand,type,note,link
IMG_20220912_0005_0_0,vivid lime,diamine,ink,might be discontinued,
IMG_20220912_0005_0_1,opera green,Paul Rubens,tube watercolor,neon watercolor,
IMG_20220912_0005_0_2,light green,Paul Rubens,tube watercolor,opaque watercolor,
IMG_20220912_0005_1_0,emerald green,spectrum noir,ink,"glitter, discontinued",
IMG_20220912_0005_1_1,g1,handmade,pan watercolor,green 1,
IMG_20220912_0005_1_2,pale green A601,arteza,tube gouache,might be paul rubens,
IMG_20220912_0005_2_0,highlighter m205,unknown,ink,,
IMG_20220912_0005_2_1,chrome green 135,arteza,tube gouache,opaque watercolor,
IMG_20220912_0005_2_2,sap green a602,arteza,tube gouache,opaque watercolor,
IMG_20220912_0006_0_0,vert indigo,L'Artisan Pastellier Vegetable Ink,ink,natural vert curcuma indigo,https://www.cultpens.com/i/q/AP53647/lartisan-pastellier-vegetable-ink-bottle-30ml
IMG_20220912_0006_0_1,11,handmade,pan watercolor,contains glitter,
IMG_20220912_0006_0_2,imperial green pr232,Paul Rubens,tube watercolor,opaque watercolor,
IMG_20220912_0006_1_0,g2,handmade,pan watercolor,,
IMG_20220912_0006_1_1,sleeping beauty turquoise,daniel smith,tube watercolor,,
IMG_20220912_0006_1_2,chrome green pr136,Paul Rubens,tube watercolor,opaque,
IMG_20220912_0006_2_0,emerald green pr133,paul Rubens,tube watercolor,opaque,
IMG_20220912_0006_2_1,amazonite genuine,daniel smith,tube watercolor,,
IMG_20220912_0006_2_2,verdura,Rohrer & Klingner Fountain Pen Ink,ink,,
IMG_20220912_0007_0_0,apple glory,diamine,ink,,
IMG_20220912_0007_0_1,hooker's green,daniel smith,tube watercolor,,
IMG_20220912_0007_0_2,seaweed a606,arteza,tube gouache,opaque,
IMG_20220912_0007_1_0,permanent green,paul Rubens,tube watercolor,opaque,
IMG_20220912_0007_1_1,Vinta Teal,VINTA,ink,,
IMG_20220912_0007_1_2,deep green a607,arteza,tube gouache,opaque,
IMG_20220912_0007_2_0,sherwood green,diamine,ink,,
IMG_20220912_0007_2_1,jadeite genuine,daniel smith,tube watercolor,,
IMG_20220912_0007_2_2,empty,empty,empty,empty,
IMG_20220912_0008_0_0,soft mint,diamine,ink,,
IMG_20220912_0008_0_1,o.s. Aldous Huxley Old World Blue,Organic Studio,ink,o.s. portrait ,https://www.gouletpens.com/collections/organics-studio/products/organics-studio-aldous-huxley-55ml-bottled-ink#
IMG_20220912_0008_0_2,pearl gerulean blue,paul rubens,tube watercolor,glitter/shimmer,
IMG_20220912_0008_1_0,holly,diamine,ink,,
IMG_20220912_0008_1_1,phthalo turquoise,daniel smith,tube watercolor,,
IMG_20220912_0008_1_2,milky ocean,troublemaker ,ink,,
IMG_20220912_0008_2_0,walden,organic studio,ink,,
IMG_20220912_0008_2_1,algean blue a504,arteza,tube gouache,opaque ,
IMG_20220912_0008_2_2,sky blue ,paul rubens,tube watercolor,,
IMG_20220912_0009_0_0,sterling silver,spectrum noir,ink,discontinued,
IMG_20220912_0009_0_1,midori sour,foxandquills,ink,pigment,
IMG_20220912_0009_0_2,olive green,paul rubens,tube watercolor,opaque,
IMG_20220912_0009_1_0,snow storm,diamine,ink,,
IMG_20220912_0009_1_1,gra-3,handmade,pan watercolor,,
IMG_20220912_0009_1_2,olive green a604 ,arteza,tube gouache,,
IMG_20220912_0009_2_0,zuzmo lichen,Pennonia,ink,,https://www.cultpens.com/i/q/PO82230/pennonia-fountain-pen-ink-50ml
IMG_20220912_0009_2_1,olive jade,spectrum noir,ink,discontinued,
IMG_20220912_0009_2_2,cerlean blue a503 ,arteza,tube gouache,,
IMG_20220912_0010_0_0,60,handmade,pan watercolor,glitter,
IMG_20220912_0010_0_1,mermaid magic,foxandquills,ink,pigment,
IMG_20220912_0010_0_2,blue topaz,spectrum noir,ink,discontinued,
IMG_20220912_0010_1_0,moon stone,spectrum noir,ink,discontinued,
IMG_20220912_0010_1_1,beau blue,diamine,ink,,
IMG_20220912_0010_1_2,hermes sky blue,Laban Greek Mythology,ink,,https://www.cultpens.com/i/q/LB83722/laban-greek-mythology-50ml-ink
IMG_20220912_0010_2_0,empty,empty,empty,empty,
IMG_20220912_0010_2_1, light blue pr224,paul rubens,tube watercolor,opaque,
IMG_20220912_0010_2_2,blue lightening ,spectrum noir,ink,discontinued,
IMG_20220912_0011_0_0,lapis lazuli genuine,daniel smith,tube watercolor,,
IMG_20220912_0011_0_1,b2,handmade,pan watercolor,,
IMG_20220912_0011_0_2,violet a409,arteza,tube gouache,,
IMG_20220912_0011_1_0,lavendar,daniel smith,tube watercolor,,
IMG_20220912_0011_1_1,sapphire blue,diamine,ink,,
IMG_20220912_0011_1_2,heliotrope pr113,paul rubens,tube watercolor,opaque,
IMG_20220912_0011_2_0,b3,handmade,pan watercolor,,
IMG_20220912_0011_2_1,platinum jubilee ink,diamine,ink,,
IMG_20220912_0011_2_2,azurite lamy360,lamy,ink ,crystal ink,https://www.cultpens.com/i/q/LM62360/lamy-t53-crystal-ink-30ml
IMG_20220912_0012_0_0,233,handmade,pan watercolor,,
IMG_20220912_0012_0_1,eau de nil,diamine,ink,,
IMG_20220912_0012_0_2,prussian blue,diamine,ink,,
IMG_20220912_0012_1_0,luna blue,daniel smith,tube watercolor,,
IMG_20220912_0012_1_1,parker blue black,parker,ink,,
IMG_20220912_0012_1_2,turquoise d'indigo,L'Artisan Pastellier Vegetable Ink,ink,vegetable,
IMG_20220912_0012_2_0,mayan blue genuine,daniel smith,tube watercolor,,
IMG_20220912_0012_2_1,artemis navy blue,Laban Greek Mythology,ink,,
IMG_20220912_0012_2_2,twilight,diamine,ink,,
IMG_20220912_0014_0_0,stone blue a502,arteza,tube gouache,,
IMG_20220912_0014_0_1,tempest,diamine,ink,red edition,
IMG_20220912_0014_0_2,blue velvet,diamine,ink,150th aniversary,https://www.cultpens.com/i/q/DM41843/diamine-150th-anniversary-ink-bottle
IMG_20220912_0014_1_0,gray sky no more,diamine,ink,,
IMG_20220912_0014_1_1,marine,diamine,ink,,
IMG_20220912_0014_1_2,polar glow,diamine,ink,,
IMG_20220912_0014_2_0,petrichor,troublemaker,ink,,
IMG_20220912_0014_2_1,san qing,paul rubens,tube chinese paint,,
IMG_20220912_0014_2_2,horizon blue,monteverde ink,ink,,https://www.cultpens.com/i/q/MV19974/monteverde-ink-bottle-90ml
IMG_20220912_0015_0_0,opera blue,paul rubens,tube watercolor,neon,
IMG_20220912_0015_0_1,florida blue,diamine,ink,,
IMG_20220912_0015_0_2,pthalo blue,daniel smith,tube watercolor,,
IMG_20220912_0015_1_0,shiny blue 1,handmade,pan watercolor,,
IMG_20220912_0015_1_1,sky blue pr,paul rubens,tube watercolor,opaque,
IMG_20220912_0015_1_2,indanthrone blue,daniel smith,tube watercolor,,
IMG_20220912_0015_2_0,b1,handmade,pan watercolor,,
IMG_20220912_0015_2_1,cerulean blue pr121,paul rubens,tube watercolor,opaque,
IMG_20220912_0015_2_2,asa blue,diamine,ink,,
IMG_20220912_0016_0_0,empty,diamine,ink,,
IMG_20220912_0016_0_1,china blue,diamine,ink,,
IMG_20220912_0016_0_2,oxford blue,diamine,ink,,
IMG_20220912_0016_1_0,festive cheer,diamine,ink,,
IMG_20220912_0016_1_1,night shade,diamine,ink,red edition,
IMG_20220912_0016_1_2,denim,diamine,ink,,
IMG_20220912_0016_2_0,parker blue,parker,ink,,
IMG_20220912_0016_2_1,prussian blue pr 117,paul rubens,tube watercolor,opaque,
IMG_20220912_0016_2_2,prussian blue,daniel smith,tube watercolor,,
IMG_20220912_0017_0_0,maureen,diamine,ink,,
IMG_20220912_0017_0_1,o.s. ralph,organic studio,ink,,
IMG_20220912_0017_0_2,happy holiday,diamine,ink,,
IMG_20220912_0017_1_0,azure vinta,vinta,ink,,
IMG_20220912_0017_1_1,o.s. nitrogen,organic studio,ink,,
IMG_20220912_0017_1_2,jack frost,organic studio,ink,,
IMG_20220912_0017_2_0,cosmic blue,Manuscript Shimmer,ink,,https://www.cultpens.com/i/q/MA74568/manuscript-shimmer-ink-25ml
IMG_20220912_0017_2_1,majestic blue,diamine,ink,,
IMG_20220912_0017_2_2,midnight howl,diamine,ink,,
IMG_20220912_0018_0_0,ultramarine blue,daniel smith,tube watercolor,,
IMG_20220912_0018_0_1,ultramarine blue a505,arteza,tube gouache,,
IMG_20220912_0018_0_2,opera ultermarine,paul rubens,tube watercolor,opaque,
IMG_20220912_0018_1_0,french ultramarine,daniel smith,tube watercolor,,
IMG_20220912_0018_1_1,cobal blue pr,paul rubens,tube watercolor,opaque,
IMG_20220912_0018_1_2,ultramarine pr 118,paul rubens,tube watercolor,opaque,
IMG_20220912_0018_2_0,69,handmade,pan watercolor,,
IMG_20220912_0018_2_1,french blue pr 225,paul rubens,tube watercolor,opaque,
IMG_20220912_0018_2_2,orgona,pennonia ,ink,,
IMG_20220912_0019_0_0,cobalt violet pr110,paul rubens,tube watercolor,,
IMG_20220912_0019_0_1,purple rain,foxandquills,ink,pigment,
IMG_20220912_0019_0_2,lilac a408,arteza,tube gouache,,
IMG_20220912_0019_1_0,opera purple,paul rubens,tube watercolor,neon,
IMG_20220912_0019_1_1,grape,diamine,ink,,
IMG_20220912_0019_1_2,amethyst genuine,daniel smith,tube watercolor,,
IMG_20220912_0019_2_0,imperial purple,daniel smith,tube watercolor,,
IMG_20220912_0019_2_1,pearl lavender a706,arteza,tube gouache,,
IMG_20220912_0019_2_2,amazing amethyst,diamine,ink,,
IMG_20220912_0020_0_0,623,handmade,pan watercolor,,
IMG_20220912_0020_0_1,pink pr,paul rubens,tube watercolor,opaque,
IMG_20220912_0020_0_2,opera peach,paul rubens,tube watercolor,,
